chainId,address,symbol,name,decimals
101,CS4tNS523VCLiTsGnYEAd6GqfrZNLtA14C98DC6gE47g,SPY,SPDR S&P 500 ETF,8
101,BLyrWJuDyYnDaUMxqBMqkDYAeajnyode1ARh7TxtakEh,SQ,Square,8
101,HSDepE3xvbyRDx4M11LX7Hf9qgHSopfTXxAoeatCcwWF,SUN,Sunoco LP,8
101,LZufgu7ekMcWBUypPMBYia2ipnFzpxpZgRBFLhYswgR,TLRY,Tilray Inc,8
101,2iCUKaCQpGvnaBimLprKWT8bNGF92e6LxWq4gjsteWfx,TSM,Taiwan Semiconductor Mfg,8
101,H8Z1JgxqUpyHrerDVbXQ2HdjKuSTAWEZSeLTo4smWdF2,CPT,CryptoPotes Token,9
101,BZMg4HyyHVUJkwh2yuv6duu4iQUaXRxT6sK1dT7FcaZf,TUR,iShares MSCI Turkey ETF,8
101,C2tNm8bMU5tz6KdXjHY5zewsN1Wv1TEbxK9XGTCgUZMJ,TWTR,Twitter,8
101,4kmVbBDCzYam3S4e9XqKQkLCEz16gu3dTTo65KbhShuv,UBER,Uber,8
101,J645gMdx9zSMM2VySLBrtv6Zv1HyEjPqQXVGRAPYqzvK,USO,United States Oil Fund,8
101,3LjkoC9FYEqRKNpy7xz3nxfnGVAt1SNS98rYwF2adQWB,VXX,iPath B S&P 500 VIX S/T Futs ETN,8
101,BcALTCjD4HJJxBDUXi3nHUgqsJmXAQdBbQrcmtLtqZaf,ZM,Zoom,8
101,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,BTC,Wrapped Bitcoin (Sollet),6
101,2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,soETH,Wrapped Ethereum (Sollet),6
101,3JSf5tPeuscJGtaCp5giEiDhv51gQ4v3zWg8DGgyLfAB,soYFI,Wrapped YFI (Sollet),6
101,CWE8jPTUYhdCTZYWPTe1o5DFqfdjzWKc9WKz6rSjQUdG,soLINK,Wrapped Chainlink (Sollet),6
101,Ga2AXHpfAF6mv2ekZwcsJFqu7wB4NV331qNH7fW9Nst8,XRP,Wrapped XRP (Sollet),6
101,BQcdHdAQW1hczDbBi9hiegXAR7A98Q9jx3X3iBBBDiq4,soUSDT,Wrapped USDT (Sollet),6
101,AR1Mtgh7zAtxuxGd2XPovXPVjcSdY3i4rQYisNadjfKy,soSUSHI,Wrapped SUSHI (Sollet),6
101,CsZ5LZkDS7h9TDKjrbL7VAwQZ9nsRu8vJLhRYfmGaN8K,soALEPH,Wrapped ALEPH (Sollet),6
101,SF3oTvfWzEP3DTwGSvUXRrGTvr75pdZNnBLAH9bzMuX,soSXP,Wrapped SXP (Sollet),6
101,BtZQfWqDGbk9Wf2rXEiWyQBdBY1etnUUn6zEphvVS7yN,soHGET,Wrapped Hedget (Sollet),6
101,5Fu5UUgbjpUvdBveb3a1JTNirL8rXtiYeSMWvKjtUNQv,soCREAM,Wrapped Cream Finance (Sollet),6
101,873KLxCbz7s9Kc4ZzgYRtNmhfkQrhfyWGZJBmyCbC3ei,soUBXT,Wrapped Upbots (Sollet),6
101,HqB7uswoVg4suaQiDP3wjxob1G5WdZ144zhdStwMCq7e,soHNT,Wrapped Helium (Sollet),6
